Open,Close,OpenTime,CloseTime,Low,High
30095.29,30134.98,1/15/2021 21:57,1/15/2021 21:57,30056.76,30164.01
30134.63,30090.62,1/15/2021 21:58,1/15/2021 21:58,30090.62,30134.63
30045.18,30054.1,1/15/2021 21:59,1/15/2021 21:59,30038.17,30092.83
30026.18,30026.23,1/15/2021 22:00,1/15/2021 22:00,30026.18,30075.9
30061.89,29990.41,1/15/2021 22:01,1/15/2021 22:01,29943.92,30063.51
29990.41,29963.89,1/15/2021 22:02,1/15/2021 22:02,29936.7,29990.41
29989.7,30012.3,1/15/2021 22:03,1/15/2021 22:03,29957.16,30047.26
30012.3,30001.17,1/15/2021 22:04,1/15/2021 22:04,29998.8,30012.3
30034.99,29861.49,1/15/2021 22:05,1/15/2021 22:05,29769.27,30035
29861.49,29921.18,1/15/2021 22:06,1/15/2021 22:06,29861.49,29922.23
29901.47,29877.08,1/15/2021 22:07,1/15/2021 22:07,29832.7,29901.47
29872.9,29852.66,1/15/2021 22:08,1/15/2021 22:08,29850,29925.03
29912.76,29870.99,1/15/2021 22:09,1/15/2021 22:09,29870.98,29923.42
29905.49,29872.11,1/15/2021 22:10,1/15/2021 22:10,29781.37,29905.49
29839.68,29849.98,1/15/2021 22:11,1/15/2021 22:11,29823.13,29849.98
29849.98,29868.53,1/15/2021 22:12,1/15/2021 22:12,29822.8,29868.53
29884.56,29872.16,1/15/2021 22:13,1/15/2021 22:13,29836.51,29887.4
29899.99,29956.18,1/15/2021 22:14,1/15/2021 22:14,29899.99,29956.18
29963.39,29935.33,1/15/2021 22:15,1/15/2021 22:15,29926.22,29979.47
29969.55,29969.55,1/15/2021 22:16,1/15/2021 22:16,29969.55,29969.55
29969.55,29882.51,1/15/2021 22:17,1/15/2021 22:17,29882.51,29969.55
29882.5,29846.04,1/15/2021 22:18,1/15/2021 22:18,29846.04,29901.31
29846.1,29902.85,1/15/2021 22:19,1/15/2021 22:19,29846.1,29902.85
29868.49,29901.92,1/15/2021 22:20,1/15/2021 22:20,29868.42,29901.92
29869.49,29855.06,1/15/2021 22:21,1/15/2021 22:21,29854.75,29869.49
29855.06,29852.33,1/15/2021 22:22,1/15/2021 22:22,29817.57,29859.23
29828.25,29852.27,1/15/2021 22:23,1/15/2021 22:23,29819.79,29852.32
29852.31,29878.94,1/15/2021 22:24,1/15/2021 22:24,29852.31,29878.94
29899.79,29891.89,1/15/2021 22:25,1/15/2021 22:25,29891.89,29899.95
29862.98,29869.65,1/15/2021 22:26,1/15/2021 22:26,29840,29899.99
